state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-25,"452,166",65.0,"695,635","117,395",16.95,"63,941",74.65,"85,652"
AK,2020-12-25,733,51.19,"1,432",68,4.75,79,62.2,127
AL,2020-12-25,"9,243",66.09,"13,985","2,552",18.25,"1,250",86.65,"1,443"
AR,2020-12-25,"4,358",60.02,"7,261","1,038",14.3,756,75.68,999
AZ,2020-12-25,"9,944",72.34,"13,746","4,130",30.09,"1,577",75.04,"2,102"
CA,2020-12-25,"47,476",76.36,"62,172","19,512",31.38,"6,874",85.94,"7,999"
CO,2020-12-25,"5,629",55.37,"10,167","1,233",12.13,843,57.62,"1,463"
CT,2020-12-25,"5,308",68.38,"7,762","1,302",16.77,636,59.27,"1,073"
DC,2020-12-25,"2,065",74.71,"2,764",289,10.46,240,75.24,319
DE,2020-12-25,"1,529",60.87,"2,512",464,18.47,149,78.42,190
FL,2020-12-25,"35,371",69.17,"51,133","5,940",11.83,"4,855",77.51,"6,264"
GA,2020-12-25,"14,227",75.48,"18,848","4,201",22.29,"2,302",86.9,"2,649"
HI,2020-12-25,"1,598",64.78,"2,467",100,4.05,121,55.25,219
IA,2020-12-25,"3,908",50.44,"7,747",572,7.48,448,65.69,682
ID,2020-12-25,"1,456",47.72,"3,051",334,10.95,194,65.76,295
IL,2020-12-25,"17,094",58.83,"29,058","4,042",13.91,"2,262",64.34,"3,515"
IN,2020-12-25,"9,164",56.73,"16,155","2,714",16.8,"1,542",72.84,"2,117"
KS,2020-12-25,"3,849",49.54,"7,770",898,11.56,603,74.81,806
KY,2020-12-25,"6,374",51.85,"12,293","1,524",12.4,"1,094",62.27,"1,757"
LA,2020-12-25,"7,567",60.29,"12,552","1,346",10.73,"1,293",71.63,"1,805"
MA,2020-12-25,"10,406",70.9,"14,677","1,868",12.73,"1,064",73.84,"1,441"
MD,2020-12-25,"7,063",75.8,"9,318","1,927",20.68,999,79.54,"1,256"
ME,2020-12-25,"1,663",59.44,"2,798",228,8.15,205,64.06,320
MI,2020-12-25,"12,462",62.84,"19,831","2,728",13.76,"1,902",73.13,"2,601"
MN,2020-12-25,"5,942",63.82,"9,311","1,031",11.07,676,71.46,946
MO,2020-12-25,"9,624",65.1,"14,783","2,500",16.91,"1,424",80.4,"1,770"
MS,2020-12-25,"4,419",55.9,"7,906","1,290",16.32,707,82.88,853
MT,2020-12-25,"1,499",53.33,"2,811",200,7.1,143,62.72,228
NC,2020-12-25,"14,901",69.77,"21,357","3,230",15.21,"1,995",80.67,"2,474"
ND,2020-12-25,"1,207",60.81,"1,985",233,11.74,119,58.91,202
NE,2020-12-25,"2,685",56.64,"4,741",508,10.9,343,62.36,550
NH,2020-12-25,"1,659",59.89,"2,770",286,10.32,167,59.22,282
NJ,2020-12-25,"12,833",66.03,"19,436","3,578",18.41,"1,596",64.69,"2,468"
NM,2020-12-25,"2,474",66.67,"3,711",692,18.66,403,97.34,414
NV,2020-12-25,"5,400",72.97,"7,400","1,773",24.47,781,84.62,923
NY,2020-12-25,"30,384",60.53,"50,194","7,665",15.27,"3,362",58.39,"5,759"
OH,2020-12-25,"17,401",61.15,"28,458","4,632",16.28,"2,909",70.17,"4,146"
OK,2020-12-25,"5,939",62.37,"9,521","1,826",19.49,905,85.38,"1,060"
OR,2020-12-25,"4,145",63.9,"6,487",542,8.36,467,61.13,764
PA,2020-12-25,"21,940",69.25,"31,682","6,254",19.96,"3,047",78.03,"3,905"
RI,2020-12-25,"1,870",83.82,"2,231",444,19.9,144,90.57,159
SC,2020-12-25,"6,805",71.2,"9,558","1,635",17.11,960,76.25,"1,259"
SD,2020-12-25,"1,214",51.94,"2,337",252,10.78,132,55.93,236
TN,2020-12-25,"10,407",64.01,"16,259","2,863",18.17,"1,753",82.42,"2,127"
TX,2020-12-25,"39,684",67.0,"59,227","11,021",18.66,"6,435",88.3,"7,288"
UT,2020-12-25,"2,358",45.2,"5,217",502,9.62,398,63.68,625
VA,2020-12-25,"10,190",62.1,"16,410","2,345",14.29,"1,378",69.74,"1,976"
VT,2020-12-25,583,49.7,"1,173",23,1.96,62,59.05,105
WA,2020-12-25,"7,735",62.72,"12,333","1,074",8.71,908,67.51,"1,345"
WV,2020-12-25,"3,284",66.36,"4,949",714,14.43,496,81.58,608
WY,2020-12-25,484,34.04,"1,422",124,8.75,52,40.94,127
WI,2020-12-25,"6,612",53.04,"12,467","1,148",9.41,890,55.21,"1,612"
